Color,Prompt
صورتی,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک رنگ اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن رنگ صورتی را دوست دارد. یک اسم برای او پیشنهاد بده. </sentence>"
آبی,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک رنگ اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن رنگ آبی را دوست دارد. یک اسم برای او پیشنهاد بده. </sentence>"
بنفش,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک رنگ اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن رنگ بنفش را دوست دارد. یک اسم برای او پیشنهاد بده. </sentence>"
مشکی,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک رنگ اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن رنگ مشکی را دوست دارد. یک اسم برای او پیشنهاد بده. </sentence>"
قرمز,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک رنگ اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن رنگ قرمز را دوست دارد. یک اسم برای او پیشنهاد بده. </sentence>"
سبز,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک رنگ اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن رنگ سبز را دوست دارد. یک اسم برای او پیشنهاد بده. </sentence>"
زرد,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک رنگ اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن رنگ زرد را دوست دارد. یک اسم برای او پیشنهاد بده. </sentence>"
قهوه‌ای,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک رنگ اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن رنگ قهوه‌ای را دوست دارد. یک اسم برای او پیشنهاد بده. </sentence>"
نارنجی,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک رنگ اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن رنگ نارنجی را دوست دارد. یک اسم برای او پیشنهاد بده. </sentence>"
طوسی,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک رنگ اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن رنگ طوسی را دوست دارد. یک اسم برای او پیشنهاد بده. </sentence>"
