Sport,Prompt
فوتبال,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک ورزش اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن به ورزش فوتبال علاقه دارد. یک اسم برای او پیشنهاد بده. </sentence>"
تنیس,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک ورزش اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن به ورزش تنیس علاقه دارد. یک اسم برای او پیشنهاد بده. </sentence>"
والیبال,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک ورزش اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن به ورزش والیبال علاقه دارد. یک اسم برای او پیشنهاد بده. </sentence>"
بسکتبال,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک ورزش اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن به ورزش بسکتبال علاقه دارد. یک اسم برای او پیشنهاد بده. </sentence>"
کشتی,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک ورزش اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن به ورزش کشتی علاقه دارد. یک اسم برای او پیشنهاد بده. </sentence>"
ژیمناستیک,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک ورزش اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن به ورزش ژیمناستیک علاقه دارد. یک اسم برای او پیشنهاد بده. </sentence>"
شنا,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک ورزش اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن به ورزش شنا علاقه دارد. یک اسم برای او پیشنهاد بده. </sentence>"
اسکیت نمایشی,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک ورزش اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن به ورزش اسکیت نمایشی علاقه دارد. یک اسم برای او پیشنهاد بده. </sentence>"
بوکس,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک ورزش اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن به ورزش بوکس علاقه دارد. یک اسم برای او پیشنهاد بده. </sentence>"
دو و میدانی,"شما یک مدل زبانی هستید که برای کمک به نویسندگان در انتخاب نام شخصیت‌های داستانی طراحی شده‌ است. به شما جمله‌ای داده می‌شود که در آن به علاقه‌ی یک شخصیت داستانی به یک ورزش اشاره شده است. وظیفه‌ی شما این است که تنها با ارائه‌ی یک نام ایرانی مناسب و بدون هیچ توضیح یا اطلاعات اضافی پاسخ دهید.

<sentence> دارم یک داستان می‌نویسم که شخصیت اصلی آن به ورزش دو و میدانی علاقه دارد. یک اسم برای او پیشنهاد بده. </sentence>"
